Datum;Wochentag;Kapazitaet_Std;Gebucht_Std;Auslastung_Prozent;Anzahl_Buchungen;Details_JSON
2026-01-14;Wednesday;43.5;23.5;54.02;13;"[{""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 11.5, ""end"": 13.5, ""duration"": 2.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-15;Thursday;43.5;29.0;66.67;20;"[{""start"": 8.0, ""end"": 9.5, ""duration"": 1.5}, {""start"": 9.5, ""end"": 11.0, ""duration"": 1.5}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}]"
2026-01-16;Friday;43.5;36.5;83.91;23;"[{""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 11.5, ""end"": 13.0, ""duration"": 1.5}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 10.0, ""end"": 12.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 16.0, ""duration"": 2.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}]"
2026-01-17;Saturday;37.5;37.5;100.0;3;"[{""start"": 8.0, ""end"": 23.0, ""duration"": 15.0}, {""start"": 8.0, ""end"": 23.0, ""duration"": 15.0}, {""start"": 8.0, ""end"": 23.0, ""duration"": 15.0}]"
2026-01-18;Sunday;37.5;37.5;100.0;25;"[{""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 12.5, ""duration"": 1.5}, {""start"": 12.5, ""end"": 13.5, ""duration"": 1.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.5, ""duration"": 1.5}, {""start"": 19.5, ""end"": 21.0, ""duration"": 1.5}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 12.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 14.0, ""duration"": 2.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.5, ""duration"": 1.5}, {""start"": 19.5, ""end"": 21.0, ""duration"": 1.5}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 12.5, ""end"": 14.5, ""duration"": 2.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}]"
2026-01-19;Monday;43.5;36.5;83.91;28;"[{""start"": 9.5, ""end"": 11.0, ""duration"": 1.5}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 15.0, ""end"": 17.0, ""duration"": 2.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 8.5, ""end"": 10.0, ""duration"": 1.5}, {""start"": 10.0, ""end"": 11.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 14.5, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 21.0, ""duration"": 1.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 9.5, ""end"": 10.5, ""duration"": 1.0}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-20;Tuesday;43.5;30.5;70.11;24;"[{""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 21.0, ""duration"": 1.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-21;Wednesday;43.5;26.5;60.92;18;"[{""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 19.0, ""duration"": 2.0}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 8.0, ""end"": 9.5, ""duration"": 1.5}, {""start"": 12.5, ""end"": 13.5, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-22;Thursday;43.5;31.0;71.26;22;"[{""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.5, ""duration"": 2.0}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 10.5, ""end"": 12.0, ""duration"": 1.5}, {""start"": 13.0, ""end"": 14.5, ""duration"": 1.5}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 19.0, ""duration"": 2.0}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}]"
2026-01-23;Friday;43.5;43.5;100.0;26;"[{""start"": 8.0, ""end"": 9.5, ""duration"": 1.5}, {""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 14.5, ""end"": 16.5, ""duration"": 2.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 8.0, ""end"": 9.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 16.5, ""duration"": 2.0}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 16.0, ""duration"": 2.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 19.0, ""duration"": 2.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}]"
2026-01-24;Saturday;37.5;37.5;100.0;27;"[{""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 13.0, ""duration"": 3.0}, {""start"": 13.0, ""end"": 15.0, ""duration"": 2.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.5, ""duration"": 1.5}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.5, ""duration"": 1.5}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 11.5, ""end"": 13.0, ""duration"": 1.5}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 19.5, ""duration"": 1.0}, {""start"": 19.5, ""end"": 20.5, ""duration"": 1.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 13.0, ""duration"": 3.0}, {""start"": 13.0, ""end"": 15.0, ""duration"": 2.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.0, ""duration"": 1.5}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-25;Sunday;37.5;37.5;100.0;25;"[{""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 11.5, ""end"": 13.0, ""duration"": 1.5}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 15.5, ""duration"": 1.5}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 22.0, ""duration"": 3.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 12.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 22.0, ""duration"": 3.0}, {""start"": 9.0, ""end"": 10.5, ""duration"": 1.5}, {""start"": 10.5, ""end"": 12.5, ""duration"": 2.0}, {""start"": 12.5, ""end"": 13.5, ""duration"": 1.0}, {""start"": 13.5, ""end"": 14.5, ""duration"": 1.0}, {""start"": 14.5, ""end"": 15.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 19.0, ""duration"": 2.0}, {""start"": 19.0, ""end"": 22.0, ""duration"": 3.0}]"
2026-01-26;Monday;43.5;26.5;60.92;19;"[{""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 13.5, ""end"": 15.5, ""duration"": 2.0}, {""start"": 15.5, ""end"": 16.0, ""duration"": 0.5}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 9.5, ""end"": 10.5, ""duration"": 1.0}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-27;Tuesday;43.5;33.5;77.01;24;"[{""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 15.0, ""duration"": 2.0}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 8.5, ""end"": 10.0, ""duration"": 1.5}, {""start"": 11.0, ""end"": 12.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 20.0, ""duration"": 2.0}, {""start"": 20.0, ""end"": 21.0, ""duration"": 1.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}]"
2026-01-28;Wednesday;43.5;30.0;68.97;23;"[{""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 19.0, ""duration"": 2.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.0, ""duration"": 1.0}, {""start"": 12.5, ""end"": 13.5, ""duration"": 1.0}, {""start"": 15.5, ""end"": 17.0, ""duration"": 1.5}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 19.5, ""duration"": 1.0}, {""start"": 19.5, ""end"": 21.0, ""duration"": 1.5}, {""start"": 21.0, ""end"": 22.0, ""duration"": 1.0}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}]"
2026-01-29;Thursday;43.5;32.0;73.56;21;"[{""start"": 8.5, ""end"": 10.5, ""duration"": 2.0}, {""start"": 12.0, ""end"": 13.5, ""duration"": 1.5}, {""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 22.0, ""end"": 23.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 13.0, ""duration"": 2.0}, {""start"": 14.5, ""end"": 16.0, ""duration"": 1.5}, {""start"": 16.0, ""end"": 17.0, ""duration"": 1.0}, {""start"": 17.0, ""end"": 18.0, ""duration"": 1.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 21.0, ""duration"": 2.0}, {""start"": 21.0, ""end"": 23.0, ""duration"": 2.0}, {""start"": 8.5, ""end"": 10.0, ""duration"": 1.5}, {""start"": 14.0, ""end"": 15.5, ""duration"": 1.5}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 18.5, ""duration"": 2.0}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
2026-01-30;Friday;43.5;38.0;87.36;24;"[{""start"": 10.5, ""end"": 12.0, ""duration"": 1.5}, {""start"": 12.0, ""end"": 13.0, ""duration"": 1.0}, {""start"": 13.0, ""end"": 15.0, ""duration"": 2.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 18.0, ""duration"": 1.5}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 10.5, ""end"": 11.5, ""duration"": 1.0}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 12.5, ""end"": 14.0, ""duration"": 1.5}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 17.0, ""duration"": 2.0}, {""start"": 17.0, ""end"": 18.5, ""duration"": 1.5}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}, {""start"": 8.0, ""end"": 9.5, ""duration"": 1.5}, {""start"": 11.5, ""end"": 13.5, ""duration"": 2.0}, {""start"": 13.5, ""end"": 15.0, ""duration"": 1.5}, {""start"": 15.0, ""end"": 16.0, ""duration"": 1.0}, {""start"": 16.0, ""end"": 18.0, ""duration"": 2.0}, {""start"": 18.0, ""end"": 19.0, ""duration"": 1.0}, {""start"": 19.0, ""end"": 20.0, ""duration"": 1.0}, {""start"": 20.0, ""end"": 23.0, ""duration"": 3.0}]"
2026-01-31;Saturday;37.5;37.5;100.0;28;"[{""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 10.0, ""end"": 11.5, ""duration"": 1.5}, {""start"": 11.5, ""end"": 12.5, ""duration"": 1.0}, {""start"": 12.5, ""end"": 14.0, ""duration"": 1.5}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 19.5, ""duration"": 2.0}, {""start"": 19.5, ""end"": 20.5, ""duration"": 1.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 9.0, ""end"": 10.0, ""duration"": 1.0}, {""start"": 11.0, ""end"": 13.0, ""duration"": 2.0}, {""start"": 13.0, ""end"": 14.0, ""duration"": 1.0}, {""start"": 14.0, ""end"": 15.0, ""duration"": 1.0}, {""start"": 15.0, ""end"": 16.5, ""duration"": 1.5}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.5, ""duration"": 2.0}, {""start"": 20.5, ""end"": 22.0, ""duration"": 1.5}, {""start"": 9.0, ""end"": 11.0, ""duration"": 2.0}, {""start"": 11.0, ""end"": 12.5, ""duration"": 1.5}, {""start"": 12.5, ""end"": 13.5, ""duration"": 1.0}, {""start"": 13.5, ""end"": 15.5, ""duration"": 2.0}, {""start"": 15.5, ""end"": 16.5, ""duration"": 1.0}, {""start"": 16.5, ""end"": 17.5, ""duration"": 1.0}, {""start"": 17.5, ""end"": 18.5, ""duration"": 1.0}, {""start"": 18.5, ""end"": 20.0, ""duration"": 1.5}, {""start"": 20.0, ""end"": 22.0, ""duration"": 2.0}]"
